From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
10,unwatered,904,Callichlamyslatifolia,liana,-0.537,-1.389,-0.852,NA,NA,NA,NA,20.5848,6_March_15,dry
10,unwatered,971,Callichlamyslatifolia,liana,-0.109,-1.48,-1.371,NA,NA,NA,NA,21.4728,3_March_15,dry
10,unwatered,912,Davillakunthii,liana,-0.591,-2.179,-1.588,NA,NA,NA,NA,22.7604,9_March_15,dry
10,unwatered,950,Davillakunthii,liana,-0.712,-1.79,-1.078,NA,NA,NA,NA,22.8936,7_March_15,dry
10,unwatered,916,Doliocarpusmajor,liana,-1.153,-2.537,-1.384,NA,NA,NA,NA,22.272,13_March_15,dry
10,unwatered,920,Doliocarpusmajor,liana,-0.459,-1.561,-1.102,NA,NA,NA,NA,22.1832,6_March_15,dry
10,unwatered,960,Machaeriummilleflorum,liana,-0.308,-1.603,-1.295,NA,NA,NA,NA,20.4072,3_March_15,dry
10,unwatered,969,Machaeriummilleflorum,liana,-0.294,-1.753,-1.459,NA,NA,NA,NA,23.1156,3_March_15,dry
10,unwatered,966,Maripapanamensis,liana,-0.498,-1.827,-1.329,NA,NA,NA,NA,25.5576,3_March_15,dry
10,unwatered,967,Paulliniapinnata,liana,-0.575,-2.334,-1.759,NA,NA,NA,NA,20.6292,9_March_15,dry
10,unwatered,968,Crescentiacujete,tree,-0.664,-2.033,-1.369,NA,NA,NA,NA,21.828,11_March_15,dry
10,unwatered,993,Crescentiacujete,tree,-0.687,-1.674,-0.987,NA,NA,NA,NA,20.9844,7_March_15,dry
10,unwatered,962,Dipteryxoleifera,tree,-0.972,-3.665,-2.693,NA,NA,NA,NA,20.1408,9_March_15,dry
10,unwatered,944,Hieronymaalchorneoides,tree,-0.666,-1.443,-0.777,NA,NA,NA,NA,22.2276,4_March_15,dry
10,unwatered,975,Huracrepitans,tree,-0.724,-0.913,-0.189,NA,NA,NA,NA,21.1176,3_March_15,dry
10,unwatered,978,Huracrepitans,tree,-0.853,-1.151,-0.298,NA,NA,NA,NA,19.7412,7_March_15,dry
10,unwatered,938,Swieteniamacrophylla,tree,-0.987,-2.409,-1.422,NA,NA,NA,NA,21.6504,11_March_15,dry
10,unwatered,985,Terminaliaamazonia,tree,-0.585,-2.182,-1.597,NA,NA,NA,NA,18.8976,6_March_15,dry
10,unwatered,999,Terminaliaamazonia,tree,-0.498,-1.666,-1.168,NA,NA,NA,NA,20.8956,3_March_15,dry
